field_id,irrigation,soil_n_ppm,soil_ph,frost_days,shade_pct,sow_day,emerged
F-1082,drip,64,8.4,3,41,118,N
F-1083,drip,51,6.7,1,89,75,N
F-1084,none,74,5.3,5,19,138,N
F-1085,none,36,7.8,1,55,91,Y
F-1086,drip,52,7,5,80,104,N
F-1087,none,45,5.8,6,69,103,N
F-1088,flood,41,6.2,4,25,126,N
F-1089,drip,49,5.1,3,44,98,Y
F-1090,none,78,5.7,6,35,87,N
F-1091,flood,27,6.6,5,14,104,Y
F-1092,drip,73,5.9,6,27,126,Y
F-1093,drip,38,7.8,8,17,93,N
F-1094,flood,33,5,4,38,79,N
F-1095,flood,37,5.3,2,62,119,N
F-1096,drip,56,5.5,1,27,105,Y
F-1097,drip,22,8.1,0,4,75,N
F-1098,drip,17,5.2,0,43,124,N
F-1099,drip,25,5.9,6,26,139,N
F-1100,drip,31,7.3,1,53,111,N
F-1101,flood,39,8,1,11,78,N
F-1102,flood,46,7.4,2,72,98,N
F-1103,none,16,6.9,8,34,118,N
F-1104,drip,68,7.2,2,42,84,N
F-1105,none,10,8,8,90,137,N
F-1106,none,67,7.5,5,69,119,N
F-1107,drip,77,7.1,7,20,129,Y
F-1108,drip,42,6.5,2,55,121,Y
F-1109,none,55,6.8,5,42,65,N
F-1110,none,19,7.1,3,82,78,N
F-1111,none,31,7.8,4,68,86,Y
F-1112,flood,69,5.4,2,14,107,N
F-1113,flood,71,8.2,4,74,71,N
F-1114,drip,61,6.8,1,68,75,Y
F-1115,none,59,5.3,3,43,69,N
F-1116,none,56,5.2,5,13,136,Y
F-1117,drip,79,5.1,0,45,101,N
F-1118,drip,56,7.9,1,67,102,N
F-1119,none,71,7.5,6,52,139,N
F-1120,none,18,6.3,1,39,110,N
F-1121,drip,16,6.4,2,10,131,N
F-1122,flood,25,6,6,28,92,N
F-1123,drip,59,7.6,7,86,102,N
F-1124,flood,53,6.3,2,72,135,N
F-1125,none,35,6.1,5,76,70,N
F-1126,none,13,6.7,3,76,118,N
F-1127,flood,55,5.8,2,3,82,Y
F-1128,flood,12,8.2,3,68,99,N
F-1129,none,63,5.3,5,88,86,N
F-1130,none,58,5.4,7,65,111,N
F-1131,none,22,8,8,1,80,N
F-1132,none,31,5.5,5,54,129,N
F-1133,none,33,5.8,8,64,64,N
F-1134,flood,36,5.7,7,86,138,Y
F-1135,none,45,7.5,5,64,135,N
F-1136,none,32,6.9,3,57,128,Y
F-1137,flood,83,6.8,4,34,105,N
F-1138,drip,26,5.4,2,76,136,N
F-1139,drip,45,5.9,6,82,85,N
F-1140,flood,11,7.7,1,30,89,N
F-1141,none,9,6.6,6,24,98,N
F-1142,drip,51,6,3,25,98,Y
F-1143,drip,55,5.1,0,16,63,N
F-1144,flood,42,6.5,3,44,98,Y
F-1145,none,24,8,7,10,64,N
F-1146,drip,19,7.1,5,83,133,N
F-1147,none,48,6.3,8,86,119,N
F-1148,drip,72,6.1,2,82,108,N
F-1149,none,28,6.7,3,54,69,Y
F-1150,none,21,5.5,4,27,106,N
F-1151,none,13,6.9,7,90,70,Y
F-1152,flood,59,8.3,3,63,85,N
F-1153,none,84,8,6,74,86,N
F-1154,flood,58,7.7,5,16,90,N
F-1155,none,74,8.2,0,77,134,N
F-1156,flood,37,7.4,1,84,135,N
F-1157,drip,74,7.5,1,75,134,N
F-1158,drip,79,5.4,1,88,108,N
F-1159,flood,71,7.5,6,8,123,N
F-1160,drip,55,5.9,6,61,80,Y
F-1161,none,45,7.6,5,63,104,N
F-1162,drip,34,6.4,0,85,138,N
F-1163,drip,47,7.9,2,2,78,Y
F-1164,flood,28,7,3,52,81,Y
F-1165,flood,8,5.2,6,51,99,N
F-1166,drip,23,8.2,2,14,115,N
F-1167,none,52,6.3,2,80,98,N
F-1168,flood,31,5.3,5,18,129,N
F-1169,flood,31,6.4,7,16,131,N
F-1170,flood,82,7.5,6,77,139,N
F-1171,none,40,5.3,8,68,96,N
F-1172,none,11,5,8,41,139,N
F-1173,flood,40,7.8,7,20,66,N
F-1174,drip,54,5.8,4,78,76,N
F-1175,drip,10,8.3,5,81,78,N
F-1176,none,10,6.6,4,50,127,Y
F-1177,drip,47,5.5,8,13,89,N
F-1178,none,78,7.6,6,74,86,N
F-1179,drip,81,6.7,2,82,73,N
F-1180,none,84,6.7,8,20,136,N
F-1181,drip,67,7.5,2,66,76,N
F-1182,drip,45,6.4,4,65,72,N
F-1183,flood,20,7.4,7,53,134,N
F-1184,drip,47,6,1,55,109,Y
F-1185,flood,68,5.8,6,36,67,Y
F-1186,none,75,7.6,2,84,127,N
F-1187,flood,11,8,3,82,136,Y
F-1188,none,29,7,1,32,128,Y
F-1189,drip,44,7.7,3,89,95,N
F-1190,none,38,6.1,3,64,71,Y
F-1191,none,14,5.8,1,42,69,N
F-1192,flood,79,6.1,2,63,139,N
F-1193,none,70,7.8,3,47,73,N
F-1194,none,41,7.6,5,16,114,Y
F-1195,none,77,7.1,3,75,60,N
F-1196,drip,71,6.6,4,58,82,N
F-1197,drip,67,7.3,8,81,103,N
F-1198,none,30,5.7,6,83,60,N
F-1199,none,12,5.1,0,14,128,N
F-1200,flood,61,5.3,1,55,78,N
F-1201,flood,52,7.3,7,11,98,Y
F-1202,none,75,8.1,2,26,137,Y
F-1203,none,29,5.8,4,48,69,N
F-1204,none,6,6.5,0,23,101,Y
F-1205,drip,78,7.4,5,65,66,N
F-1206,none,61,6.2,0,39,76,Y
F-1207,none,12,6.7,7,86,65,N
F-1208,none,36,5.7,0,54,101,Y
F-1209,none,21,6.6,4,38,69,Y
F-1210,drip,50,6.1,1,12,81,Y
F-1211,drip,46,5.2,3,79,109,N
F-1212,drip,51,6.5,4,38,138,N
F-1213,drip,83,5.6,2,81,117,N
F-1214,flood,76,7.6,5,56,96,Y
F-1215,drip,62,8.1,2,11,140,N
F-1216,drip,71,5.7,0,28,132,N
F-1217,none,79,7.8,3,13,75,N
F-1218,flood,12,6.9,1,35,101,N
F-1219,none,71,7.4,3,46,74,N
F-1220,drip,76,6.9,7,36,87,N
F-1221,none,75,5.8,8,82,133,N
F-1222,none,64,7.4,3,74,131,N
F-1223,flood,31,7.6,7,81,104,N
F-1224,none,36,5.3,1,5,119,N
F-1225,flood,61,5.3,1,84,85,Y
F-1226,drip,71,6.1,4,65,126,Y
F-1227,none,59,6.2,6,56,84,N
F-1228,none,71,7.4,3,67,86,N
F-1229,flood,73,6.6,5,25,91,N
F-1230,flood,7,7.8,6,73,68,N
F-1231,flood,78,8.4,8,26,75,Y
F-1232,flood,73,5.7,7,85,100,N
F-1233,flood,70,6.3,7,62,138,N
F-1234,drip,34,6.7,4,18,85,N
F-1235,flood,44,8.2,2,20,83,N
F-1236,drip,30,7.3,3,57,92,Y
F-1237,none,45,5.1,6,64,86,N
F-1238,flood,30,7.4,2,20,120,Y
F-1239,drip,78,6.4,6,72,126,N
F-1240,flood,19,8,3,58,95,N
F-1241,flood,8,5.6,1,74,120,N
F-1242,flood,66,7.3,8,80,96,Y
F-1243,none,61,6.6,1,79,104,N
F-1244,drip,73,7.2,4,30,81,N
F-1245,drip,5,8.2,1,67,132,N
F-1246,drip,40,6.4,3,57,134,Y
F-1247,flood,23,5.2,3,57,94,N
F-1248,drip,59,8.1,1,65,80,N
F-1249,drip,24,7.7,4,81,98,N
F-1250,flood,68,5.8,5,38,63,N
F-1251,none,67,6,4,36,139,N
F-1252,flood,68,7.2,4,62,71,N
F-1253,drip,31,6.3,6,88,113,N
F-1254,none,9,7.5,4,75,70,N
F-1255,flood,12,8.1,5,29,139,N
F-1256,drip,31,5.9,2,8,79,Y
F-1257,flood,33,7.4,3,4,63,Y
F-1258,flood,74,7.6,1,58,80,N
F-1259,flood,64,8,5,36,116,N
F-1260,drip,42,5.1,4,89,96,N
F-1261,none,67,6,7,33,90,N
F-1262,drip,8,6.2,7,72,107,N
F-1263,flood,83,6.3,4,52,130,N
F-1264,flood,40,6.7,4,83,80,N
F-1265,flood,21,5.9,8,28,83,N
F-1266,flood,85,6.9,3,83,99,N
F-1267,flood,74,5.1,6,16,66,N
F-1268,none,56,6.9,5,1,67,N
F-1269,drip,28,6.2,2,55,106,Y
F-1270,drip,33,6.7,7,5,91,N
F-1271,drip,66,7.4,3,89,136,N
F-1272,flood,76,6.8,1,69,88,N
F-1273,drip,30,7.7,1,6,120,Y
F-1274,flood,17,7.2,3,83,130,N
F-1275,drip,35,7.4,1,2,107,Y
F-1276,flood,18,8.4,2,36,71,N
F-1277,drip,31,6.9,1,5,101,Y
F-1278,none,72,7,7,32,97,N
F-1279,flood,68,5.2,2,52,89,N
F-1280,none,65,5.5,4,80,130,N
F-1281,none,12,6.9,2,51,69,N
F-1282,drip,77,7.3,1,14,71,N
F-1283,none,16,5.4,5,89,100,N
F-1284,drip,52,6.4,6,80,129,N
F-1285,drip,25,7.6,6,62,107,Y
F-1286,flood,61,5.2,8,47,132,N
F-1287,none,28,7.3,6,87,79,N
F-1288,flood,82,5.5,6,59,82,N
F-1289,flood,23,7.5,6,37,72,N
F-1290,none,46,6,7,81,139,N
F-1291,drip,18,8,1,29,84,N
F-1292,flood,69,7.7,3,77,76,N
F-1293,drip,24,5.4,4,20,78,N
F-1294,flood,25,7.9,7,76,64,N
F-1295,flood,17,5.3,4,22,66,N
F-1296,none,27,6.1,7,9,111,N
F-1297,drip,8,7.5,8,15,105,Y
F-1298,none,65,6.3,2,12,101,N
F-1299,drip,44,8.3,2,32,76,N
F-1300,flood,82,7.1,6,17,94,N
F-1301,none,77,6.9,1,27,89,Y
F-1302,flood,73,5.4,7,84,103,N
F-1303,drip,29,6.6,2,68,121,Y
F-1304,none,66,5.1,4,18,88,N
F-1305,drip,25,6.5,3,66,107,Y
F-1306,drip,41,7.3,2,29,85,Y
F-1307,drip,17,6.3,4,36,136,N
F-1308,drip,17,7.7,0,20,69,N
F-1309,none,35,7.7,3,40,75,Y
F-1310,flood,51,7.4,7,66,86,N
F-1311,none,51,7.9,1,6,123,N
F-1312,flood,66,7.7,6,7,107,N
F-1313,flood,52,6.4,3,1,94,Y
F-1314,flood,19,6.5,5,76,130,N
F-1315,drip,84,7.2,3,63,75,N
F-1316,none,82,5.8,5,82,115,N
F-1317,drip,32,6.3,3,40,104,N
F-1318,drip,65,8.3,6,21,118,N
F-1319,none,22,6.5,5,83,124,N
F-1320,none,37,6.9,7,28,91,N
F-1321,drip,21,5.4,3,17,104,N
F-1322,flood,17,5.5,4,87,135,N
F-1323,drip,74,8.2,2,51,103,N
F-1324,flood,58,5.4,0,23,107,N
F-1325,flood,20,7,1,26,122,N
F-1326,none,14,6.7,2,58,81,Y
F-1327,flood,36,5.5,4,75,85,N
F-1328,none,66,5.5,3,49,129,N
F-1329,drip,57,7.1,5,2,63,N
F-1330,drip,43,6.3,5,42,72,N
F-1331,drip,57,6.7,6,80,110,N
F-1332,flood,32,5.2,4,70,63,Y
F-1333,none,69,8,6,49,65,N
F-1334,flood,76,8,2,38,73,N
F-1335,flood,55,6.6,5,51,118,N
F-1336,none,53,5.9,4,72,116,N
F-1337,drip,71,5.8,6,70,105,Y
F-1338,flood,74,7,0,59,90,N
F-1339,drip,66,7.8,2,89,114,N
F-1340,drip,82,8.1,1,89,78,Y
F-1341,drip,14,8,4,59,135,N
F-1342,none,50,5.1,5,89,135,N
F-1343,none,26,6,3,68,136,Y
F-1344,flood,78,8.4,5,85,77,N
F-1345,flood,75,6.7,7,10,80,Y
F-1346,flood,63,7.2,2,9,67,Y
F-1347,flood,33,5,7,26,117,N
F-1348,none,31,5,7,48,66,N
F-1349,flood,14,7.2,1,32,128,N
F-1350,none,7,6.5,3,76,68,N
F-1351,drip,41,6.6,5,12,103,N
F-1352,flood,20,7.8,4,23,64,N
F-1353,flood,6,6.8,0,67,121,N
F-1354,none,24,7.6,1,44,88,Y
F-1355,none,9,6.4,0,8,116,N
F-1356,drip,37,5.4,6,29,109,N
F-1357,flood,74,6,5,87,74,N
F-1358,drip,19,5.8,7,51,90,N
F-1359,drip,79,6.7,4,5,76,N
F-1360,none,39,7.6,2,18,101,Y
F-1361,none,24,5.6,3,61,138,Y
F-1362,none,7,8.3,4,69,119,N
F-1363,none,39,7,5,10,84,N
F-1364,flood,37,7.2,5,5,115,N
F-1365,none,63,7.4,6,35,68,N
F-1366,none,74,7.2,7,81,63,N
F-1367,none,35,7.6,4,49,133,Y
F-1368,drip,34,6.4,6,27,130,N
F-1369,none,25,7.4,1,21,133,Y
F-1370,flood,11,5.5,6,10,79,N
F-1371,flood,6,8.3,8,79,65,N
F-1372,none,9,5.9,4,28,118,Y
F-1373,drip,84,6.2,0,68,109,N
F-1374,flood,20,5.8,6,39,67,N
F-1375,drip,50,6.6,2,10,103,Y
F-1376,flood,54,5.6,6,86,70,N
F-1377,drip,48,7.3,3,59,139,Y
F-1378,none,67,5.7,3,11,116,N
F-1379,flood,41,6.2,4,90,93,Y
F-1380,drip,42,7.7,1,4,61,Y
F-1381,none,74,6.2,8,12,105,N
F-1382,flood,37,5.5,1,25,118,Y
F-1383,flood,36,5.1,6,44,71,N
F-1384,flood,78,7.7,2,62,122,N
F-1385,flood,47,7.8,2,10,84,Y
F-1386,drip,22,7.1,4,53,77,N
F-1387,flood,23,5.1,6,48,85,Y
F-1388,drip,15,5.5,5,85,117,N
F-1389,flood,49,7.7,1,88,117,Y
F-1390,drip,48,7,1,49,79,Y
F-1391,flood,9,8,1,5,73,N
F-1392,drip,43,8.1,2,0,84,N
F-1393,none,47,6.7,7,52,66,N
F-1394,flood,33,7.3,5,69,120,N
F-1395,flood,52,6.2,7,16,85,N
F-1396,flood,72,7.6,3,85,126,N
F-1397,none,46,7.8,6,68,118,Y
F-1398,drip,43,5.3,4,2,124,N
F-1399,none,8,6.9,8,14,133,Y
F-1400,drip,21,8,5,2,120,N
F-1401,flood,10,5.5,3,65,62,N
F-1402,drip,42,5.9,5,69,116,N
F-1403,flood,76,5.7,2,49,109,N
F-1404,none,74,6.4,3,74,80,Y
F-1405,none,74,7.9,6,42,129,N
F-1406,none,42,5.9,7,27,70,N
F-1407,none,11,6.4,4,52,96,Y
F-1408,none,58,6.3,6,51,69,N
F-1409,flood,36,8.2,0,39,87,N
F-1410,drip,79,5.7,0,24,130,N
F-1411,flood,70,8.1,1,71,110,N
F-1412,flood,81,7.2,3,36,70,N
F-1413,drip,69,5.8,7,31,83,N
F-1414,drip,46,8.4,0,88,103,N
F-1415,none,20,7.4,0,66,138,N
F-1416,drip,17,7.6,7,13,140,N
F-1417,none,38,8,3,25,114,N
F-1418,flood,77,6.2,4,5,80,N
F-1419,flood,30,6.2,2,5,69,Y
F-1420,flood,50,6,8,54,125,N
F-1421,flood,73,6.3,7,22,87,N
F-1422,drip,45,6.8,0,41,103,Y
F-1423,drip,21,5.8,6,1,117,N
F-1424,drip,75,8.4,7,72,114,N
F-1425,none,34,5.6,4,53,94,N
F-1426,flood,40,7.4,8,32,62,N
F-1427,none,71,7.5,8,48,119,Y
F-1428,none,32,7.6,1,30,92,Y
F-1429,drip,41,8,7,77,119,N
F-1430,drip,52,5.7,2,47,100,Y
F-1431,drip,41,5.6,1,60,82,Y
F-1432,none,24,6.8,6,52,132,N
F-1433,none,5,8.2,0,36,109,N
F-1434,flood,41,6.7,5,73,138,N
F-1435,none,33,8,3,48,127,N
F-1436,none,58,7.7,6,41,134,N
F-1437,flood,84,5.3,4,80,95,N
F-1438,drip,69,6.8,3,39,97,N
F-1439,drip,41,7.1,2,44,73,Y
F-1440,flood,25,5.9,2,7,92,Y
