sample_id,tray,soil_moisture,temperature,light_hours,seed_weight,sow_depth,germinated
195,B,12,26.9,1,62.5,4.9,0
196,C,25,11.8,3,73.1,3,0
197,D,38,7.9,6,75.1,1.9,0
198,B,13,33.2,4,29.2,2.6,0
199,D,49,32,0,31.5,4.6,0
200,A,10,20.8,5,21.6,4.5,1
201,A,46,28,13,18.8,2.4,1
202,C,33,13.1,4,45.8,4.5,0
203,D,32,22.1,6,64.8,4.5,0
204,C,33,29.5,0,47.1,3.2,0
205,D,9,14.3,13,59.6,1.5,0
206,C,33,21.8,10,34.3,1.4,1
207,D,45,29.9,1,51.1,0.6,0
208,C,9,17.8,7,34.7,3.3,0
209,C,53,9.3,5,44.1,1.7,0
210,A,48,7.7,9,36.7,1.1,0
211,A,13,10.4,8,19.4,3.2,0
212,D,11,28.9,13,75,4.4,0
213,D,15,30.9,2,31.7,3.1,1
214,D,29,20.4,4,46.4,1.5,1
215,B,61,11.4,9,39.5,1.2,1
216,C,38,18.4,13,39,2.6,1
217,D,61,16.9,2,79.4,0.6,0
218,D,27,7.6,6,23.1,1.5,0
219,A,15,27.8,11,55,3,0
220,B,19,14.4,10,37.2,4.2,0
221,A,28,11.4,4,81.4,1.1,0
222,A,45,10.8,6,29,4.3,0
223,A,36,8.1,1,44.7,3.4,1
224,D,59,34,11,78.8,4.7,0
225,D,21,12,3,53.9,4.7,0
226,C,34,33.3,2,75.3,2.4,0
227,A,40,10,13,81.5,4.8,0
228,B,17,14.5,8,21.3,0.7,0
229,B,10,11.6,7,25.1,4.8,0
230,D,54,9.5,4,73.2,2.9,0
231,A,27,26.3,0,35.4,4.6,1
232,B,50,10.4,12,40.1,1.6,0
233,B,55,32.8,0,54.6,4.8,0
234,D,56,27,8,59.9,4.3,0
235,A,45,18,6,46.8,1.9,1
236,C,44,8.6,5,30,4.2,0
237,C,36,20.2,6,78.1,4.9,0
238,B,56,33.3,0,51.2,2.7,0
239,C,51,10.3,4,56.1,2.1,0
240,B,20,20.9,3,68,3.7,0
241,C,14,18.6,12,24.3,2.2,0
242,B,45,24.7,2,59.4,4,0
243,A,32,15.4,7,77,5,0
244,D,27,33.6,12,71.4,2.4,0
245,B,51,13.8,10,61,2.5,0
246,A,36,26.9,3,30.3,4.4,0
247,C,27,19.2,8,66.1,1.8,1
248,C,60,33.2,9,32.3,4.3,0
249,D,44,33,4,40.7,4.2,0
250,C,53,11.7,8,28.8,2.6,1
251,C,37,31.2,3,70.3,2.7,0
252,B,38,15.6,0,38.7,3.3,0
253,B,52,25.9,12,36.8,0.5,0
254,C,21,17.4,7,61.4,1.6,1
255,D,48,31.9,0,74.8,1.6,1
256,B,61,16.4,14,67.4,4.9,0
257,B,51,7.7,9,67.4,4.6,0
258,C,27,19.4,10,18.5,3.1,1
259,D,43,29,7,48.2,4.2,1
260,D,52,7.8,6,80.7,2.2,0
261,B,32,28.2,2,63.4,3.5,1
262,B,62,12.8,6,61.5,3.9,0
263,C,25,15.6,5,40.9,0.6,1
264,D,9,7.9,6,37,1.9,0
265,A,27,31.4,1,65.9,2.3,0
266,D,33,11.1,7,74.1,4.8,1
267,A,29,27.2,11,28.5,2.7,1
268,A,27,29.5,13,37.3,4.1,0
269,A,58,7.1,8,49.8,4.9,0
270,C,8,32.4,6,41.3,4.3,0
271,B,28,28.1,4,23.3,4.7,0
272,C,28,11.2,9,71.7,1.7,0
273,B,23,32.2,4,65.5,1.7,0
274,D,39,15.2,3,72.3,4.5,0
275,A,34,25.8,12,39.7,1.9,1
276,D,30,15.7,3,22.2,2.2,1
277,A,20,27.7,1,64.4,4.7,0
278,D,21,26.7,9,50.4,0.6,0
279,C,44,20.7,3,32.6,3.4,1
280,C,12,32.6,10,31.5,1.5,0
281,D,54,15.5,12,57.2,0.8,0
282,D,59,31.3,4,49.3,4.1,1
283,D,31,33.1,0,29.7,0.6,0
284,A,44,11.3,10,37.2,1.6,0
285,B,31,8.5,7,69.2,0.6,0
286,C,59,6.7,11,21.5,4.8,0
287,B,45,31.6,10,80,1.6,0
288,A,56,32.7,5,72.5,3.9,0
289,B,14,14.3,5,30,1.4,0
290,C,32,26.2,7,27.9,1.9,1
291,C,56,9.2,2,69.1,1.9,0
292,B,45,11.2,4,29.2,2.4,0
293,D,15,27.7,4,25.8,2.5,0
294,A,48,23.3,2,80.2,4.2,1
295,A,53,19.9,10,27.8,1.9,0
296,A,53,22.4,4,44.8,2.2,0
297,A,10,21.2,5,47.6,0.8,0
298,D,25,14.8,7,51.3,4.9,0
299,B,24,11.3,8,64.2,0.9,0
300,D,62,20.2,1,81.5,2.4,1
301,B,13,27.3,5,28.1,5,0
302,A,18,17.8,11,32.7,2.7,0
303,C,51,19.5,3,71.7,3.1,0
304,D,42,25,3,70.1,4.7,0
305,C,22,18.5,7,38.7,0.7,1
306,D,23,12.3,13,56.5,1.9,0
307,B,56,31.7,11,66.3,2.5,0
308,C,10,21.9,10,73,4.1,0
309,C,47,7.3,4,49.3,2.7,0
310,D,25,15.6,2,80.1,2,1
311,B,31,33.5,13,42.7,4,0
312,B,12,30.9,0,81.7,0.5,0
313,D,42,27.9,13,19.8,2.6,1
314,C,39,24.3,1,70.1,1.7,1
315,C,40,8.5,9,41.2,1.1,0
316,B,31,21.8,13,18.5,2.6,1
317,A,42,24.6,6,46.1,3.6,0
318,B,32,11.9,8,49.7,1.3,0
319,D,32,19.4,7,74.3,2.9,1
320,B,22,32.2,5,53.9,1.3,0
321,B,38,6.4,2,62.2,1.9,0
322,A,39,25.5,6,51.4,1.8,1
323,D,18,18.4,14,71,4,0
324,B,50,25.6,6,71.2,1.7,0
325,B,32,19.8,10,43.2,0.9,1
326,B,12,6.1,6,30.4,3.7,0
327,C,20,17.8,10,61.6,2.4,0
328,C,25,28.3,10,67,3,1
329,D,47,6.5,0,52,2.1,0
330,C,15,32.9,9,66.5,1.9,0
331,A,26,16.9,4,18.9,0.5,0
332,D,47,9.9,14,44.8,3.5,0
333,D,17,34,4,41.8,3.4,0
334,C,11,19.4,4,33.4,1.8,0
335,B,56,21.5,10,25.2,2.7,0
336,C,40,13,11,32,1.3,0
337,D,31,10.3,5,30.1,4,0
338,D,56,6.5,6,37.9,4.7,0
339,D,61,20.2,2,30.9,1.2,0
340,C,34,13.5,1,42.7,4.5,0
341,D,11,30.6,5,35,0.6,0
342,A,34,29.7,5,46.6,4.6,0
343,A,31,8.4,8,36.5,2.2,0
344,C,45,33.5,4,28.7,1.9,0
345,A,50,9,9,27.6,0.9,0
346,A,46,8.3,4,79.8,4,0
347,B,40,15.1,13,48.1,2.6,1
348,D,42,6.9,11,41.9,2.8,0
349,A,48,16.1,8,31.6,0.5,1
350,B,37,30.4,14,26.7,4.3,0
351,D,13,16.2,14,21.3,3.9,0
352,D,26,31.1,3,34.5,3.5,0
353,D,39,17.2,7,74.6,2.3,1
354,D,10,31.1,5,63.9,3.7,0
355,B,57,32,7,42.6,2.5,1
356,B,31,21.8,11,21.8,3.3,0
357,C,58,32.5,13,78.3,3,0
358,A,31,32.8,12,24.5,3.6,0
359,B,61,16.3,3,59.8,4.4,0
360,C,18,7.7,4,26.3,4.6,0
361,D,49,17.8,5,24.8,4.7,0
362,A,29,30.8,7,40.2,0.9,0
363,D,18,22.4,4,37.2,4.3,0
364,C,8,17.1,12,43.4,3.5,0
365,D,19,12.4,3,77.8,0.7,0
366,D,54,11.9,10,31.1,2.1,0
367,C,59,6.8,1,29,2.1,0
368,A,56,12.5,2,27.5,1.1,0
369,B,53,13.9,1,22.6,1,0
370,A,50,22.5,5,24.8,1.9,1
371,A,13,6.1,10,45.6,1.9,0
372,B,56,24.6,5,79.3,2.8,0
373,B,22,22.3,8,50.6,4.5,0
374,B,51,19.3,11,54.2,3.2,0
375,C,44,11.5,9,25.2,1.8,0
376,A,13,33.6,5,40.5,4.4,0
377,C,50,34,8,19.6,4.3,0
378,C,49,9,13,57.2,4.8,1
379,B,40,16.9,3,61.7,3.2,1
380,C,41,15.7,4,77.1,3.3,1
381,B,61,32.9,14,41.7,4.6,0
382,D,16,15,12,65.3,0.7,0
383,C,39,32.8,8,21.7,1,1
384,A,32,22,6,24.1,4.1,0
385,B,56,20.3,12,33.5,3.2,1
386,A,30,32.9,1,18.6,3.1,0
387,B,36,29.6,8,49.7,2.9,0
388,C,60,11.5,14,40.4,2,0
389,B,52,11.9,8,78,4.1,0
390,C,11,9.2,12,81.5,3,0
391,B,53,12.9,0,57.1,2.6,0
392,B,47,19.2,0,59,1.8,1
393,D,32,22.2,4,24.7,0.9,1
394,A,12,22.8,7,28.8,4.8,0
395,C,24,19.3,3,34.8,0.7,0
396,A,55,25.3,10,26.7,4.2,0
397,D,51,26.6,6,36.8,2.9,0
398,A,19,26,6,32.1,2.5,0
399,B,26,9.1,1,61.1,2.3,0
400,B,50,13.6,6,60.1,2.3,0
401,D,11,13.7,12,56.3,3,0
402,B,26,22.8,4,80.5,1.2,1
403,B,56,10.8,8,74.9,2.6,1
404,B,46,20.5,9,44.5,4.5,0
405,A,59,19.7,1,40.4,2.1,0
406,A,15,16.6,12,62,2.8,0
407,C,40,13,12,34.5,0.8,0
408,B,48,31.6,4,43.1,4.3,1
409,C,30,12.6,1,52.5,4.1,0
410,C,15,15.2,4,60.5,1.7,0
411,A,48,6.8,0,71.6,2.8,0
412,A,46,29.3,13,28.9,3,0
413,D,58,33.4,7,38.6,3.2,0
414,A,41,24.9,12,48.3,1.6,1
415,A,48,17.7,8,18.4,5,0
416,C,11,20.4,13,20.3,0.8,0
417,B,49,23.3,5,34.6,2.9,1
418,B,39,25,6,20.9,2.1,0
419,B,24,19.7,7,48.1,4.7,0
420,C,35,20.8,8,32.7,1.3,1
421,B,52,26.9,5,23.3,4.9,0
422,C,36,13,7,50.5,4.7,0
423,D,10,15.6,0,69.8,3,0
424,B,30,25.3,4,18.9,3.3,0
425,C,10,8.7,7,65.5,3,0
426,D,9,28.3,7,81.7,2.3,0
427,B,47,15.2,6,37.8,4.2,0
428,A,9,16,13,76.8,2.8,0
429,D,35,32.1,2,75.7,2,0
430,A,43,6.2,11,58.6,4.2,0
431,B,59,21.5,11,78.5,5,0
432,D,9,14.4,6,76.4,3,1
433,A,60,11.8,1,80.6,2,0
434,D,50,26.3,3,59.7,1.2,1
435,A,17,12.3,11,61.6,1.9,0
436,B,11,26.8,10,35.3,2.2,0
437,B,57,21.9,10,59.1,4.2,1
438,B,10,16.1,5,74.7,4.8,0
439,A,22,16.5,12,40.7,1.7,1
440,C,46,7.1,9,30.7,3.2,0
441,A,9,7.4,7,79.6,3.7,0
442,C,44,29.5,5,48.8,3.4,0
443,C,52,17,0,35.2,3.7,1
444,D,53,22.5,6,57.5,1.4,0
445,B,29,30,4,42,2.6,0
446,A,50,18.3,6,32.4,1.2,1
447,A,51,27.5,7,66.8,0.8,0
448,B,31,29.1,13,42.4,1.1,0
449,D,56,27,3,46.6,3.7,0
450,B,23,32.4,1,43.1,2.7,0
451,A,19,12.6,1,55.8,1,0
452,D,61,9.7,4,77.5,2.4,0
453,B,28,23.7,8,55.2,2.8,1
454,A,10,28.2,12,76.8,3.9,0
455,B,58,10.4,5,44.8,2.6,0
456,C,10,27.5,2,38.7,2.7,0
457,D,15,21.7,3,68.6,1.7,0
458,C,48,14,0,67.7,1.5,0
459,A,33,19.5,11,63.3,3.6,1
460,B,46,15.8,3,40.3,2.1,1
461,D,24,15.4,2,69.7,0.8,0
462,A,27,10.9,3,68.5,0.7,1
463,C,9,16.5,8,18.4,2.5,0
464,B,53,27.8,6,67,3.8,0
465,B,16,7.6,13,28.4,1.9,0
466,B,18,31.6,11,62.5,3,1
467,C,20,27.8,13,70.6,2.6,1
468,A,54,13.9,5,78,2.2,0
469,B,20,25.3,13,52.5,1,0
470,B,41,28.4,8,64.6,3.9,1
471,C,12,16.2,2,53.9,1.3,0
472,B,34,27.5,0,51,2,1
473,D,31,23.6,13,63.4,0.8,1
474,C,53,20.1,8,40.6,0.8,0
475,A,48,14.4,2,30.6,1.7,1
476,B,32,17.3,4,35.3,3.1,1
477,C,37,30.3,14,62.9,1.2,0
478,B,32,12.9,9,52,3.9,0
479,A,39,29.8,13,54.8,3.8,0
480,C,55,14.8,11,34.6,2.7,1
