plot_id,soil_type,soil_ph,rain_mm,avg_temp,sun_hours,seed_mass_mg,sprouted
P054,sand,5.5,34,32.2,11,35,no
P055,clay,8.6,61,25.1,2,60,no
P056,sand,5.1,9,22,3,78,no
P057,loam,5.4,24,26.6,8,88,yes
P058,sand,5.6,28,16.6,9,34,no
P059,clay,5,17,6.5,6,62,no
P060,loam,6.9,58,10.3,12,77,no
P061,sand,7.4,2,16,3,35,no
P062,clay,7.8,70,16.4,5,47,no
P063,sand,8.3,27,30.2,9,37,no
P064,clay,6.8,36,7.7,9,58,no
P065,loam,5.1,61,6.1,5,22,no
P066,sand,5.9,32,26.1,8,22,yes
P067,sand,8.1,56,9.1,12,33,no
P068,clay,7.8,26,14.9,7,56,no
P069,loam,5.1,17,7.5,5,67,no
P070,sand,5.8,51,14.6,4,33,no
P071,sand,6.8,15,7.5,10,64,no
P072,clay,8.1,66,6.9,11,78,no
P073,sand,5.1,61,25.7,9,42,no
P074,loam,7.7,10,12.3,10,20,no
P075,loam,6,10,7.6,6,54,no
P076,clay,8.1,21,26.3,7,75,yes
P077,loam,7.5,17,32.5,8,88,yes
P078,loam,6.7,32,30.8,5,59,yes
P079,sand,6.3,40,19,3,33,yes
P080,clay,6.6,3,17.1,10,73,no
P081,loam,7.8,13,25.7,6,20,no
P082,loam,7.6,39,27.9,8,48,yes
P083,sand,7.9,30,27.3,2,67,yes
P084,sand,6.4,48,22.6,11,61,yes
P085,clay,6.5,17,8.6,10,73,no
P086,sand,6.8,8,19.2,6,44,no
P087,clay,6.8,51,31,8,65,no
P088,loam,6.9,8,20.2,4,79,no
P089,clay,8.6,9,26.1,7,84,no
P090,loam,8.3,64,25,5,56,yes
P091,sand,5.9,30,19.1,9,46,yes
P092,sand,6.1,56,9.4,2,28,no
P093,loam,5.5,50,14.1,8,75,no
P094,loam,8.5,62,27.4,5,43,yes
P095,sand,5,4,7.6,7,58,no
P096,sand,5,15,28,6,78,no
P097,clay,6.4,57,28.9,11,74,no
P098,sand,5.5,40,13.8,5,86,no
P099,clay,7.8,41,14.4,8,40,yes
P100,clay,6.8,47,22.4,4,54,yes
P101,sand,5.7,33,15.8,7,61,no
P102,loam,5.8,55,16.3,9,64,no
P103,loam,8,17,14.2,5,47,no
P104,sand,6.9,24,21,9,20,yes
P105,loam,5.3,22,20.4,2,22,no
P106,sand,5.7,4,29.1,9,85,no
P107,loam,8.6,40,14.4,7,29,no
P108,clay,5.9,49,10.7,6,19,no
P109,clay,7.3,16,28.6,2,33,yes
P110,sand,6.9,5,19.6,3,48,no
P111,clay,5.4,60,10.9,4,79,no
P112,sand,6.9,21,11.1,3,90,yes
P113,clay,5.2,65,9.8,7,89,no
P114,sand,5,43,14.4,3,65,no
P115,loam,5.2,37,24.4,4,20,no
P116,loam,7.9,4,21.9,9,74,no
P117,sand,7.7,30,23.8,11,76,no
P118,clay,8.2,39,11.1,3,78,no
P119,loam,6.4,57,12.7,11,38,no
P120,sand,6.4,22,21,8,27,yes
P121,loam,5.4,14,23.6,5,30,yes
P122,sand,8.5,41,6.2,3,87,no
P123,sand,5.3,42,25,6,58,no
P124,sand,5.6,29,15.5,6,88,no
P125,loam,7.6,65,31,9,65,no
P126,loam,8.5,28,26.1,8,78,yes
P127,loam,5.8,23,21.2,3,55,yes
P128,clay,8.3,11,15.1,3,86,no
P129,loam,8.2,40,5.1,9,60,no
P130,loam,7,64,6.1,11,79,yes
P131,clay,5.9,22,18.6,10,72,no
P132,loam,5,45,10,11,30,no
P133,sand,6,31,8.5,11,83,yes
P134,clay,7.9,61,5.1,7,49,no
P135,clay,7.1,11,18.9,9,26,no
P136,loam,6.5,56,22.5,10,20,no
P137,sand,8.6,61,28.4,4,50,no
P138,sand,5.7,18,18,5,83,no
P139,loam,6.1,12,9.7,8,36,yes
P140,sand,7.3,4,25.2,6,83,no
P141,loam,7.3,44,10.7,3,42,no
P142,sand,7,27,11.4,3,45,yes
P143,loam,5.6,15,5.9,9,17,yes
P144,loam,7,16,26.9,12,25,yes
P145,clay,5.8,68,12.4,10,74,no
P146,sand,7.8,49,29.4,5,61,no
P147,sand,5,69,13.2,2,38,no
P148,sand,7.1,39,21.8,10,23,yes
P149,sand,7.4,64,18.1,7,86,yes
P150,clay,6.3,15,10,4,72,no
P151,loam,5.9,61,23.2,5,15,no
P152,loam,5.7,33,9.1,8,50,no
P153,sand,8.1,65,16.7,11,25,no
P154,clay,7.6,51,10.1,3,46,no
P155,loam,8.4,67,15.3,8,70,no
P156,sand,6,64,15.1,11,65,no
P157,clay,7.9,18,20.5,12,59,no
P158,sand,6.5,12,28.6,11,36,no
P159,loam,6.4,36,16.9,4,33,yes
P160,sand,5.9,0,10.5,7,83,no
P161,sand,5.5,42,32.8,8,58,no
P162,loam,5.2,51,8.3,8,32,no
P163,sand,5.1,21,27.6,8,17,no
P164,clay,7.8,66,20.6,6,60,no
P165,clay,5.9,64,20.8,3,37,no
P166,loam,6.4,65,13.5,10,51,no
P167,loam,6.8,46,21.4,11,40,yes
P168,clay,6.4,69,32.1,5,62,yes
P169,clay,5.4,24,27.2,7,85,no
P170,loam,8.3,5,12.1,6,24,no
P171,sand,6.2,13,21.4,7,17,no
P172,sand,5.2,5,10,8,71,no
P173,clay,8,5,23.2,7,22,no
P174,sand,5,36,23.3,7,89,no
P175,loam,6.6,22,10.8,3,73,yes
P176,sand,8,61,21.4,10,56,no
P177,sand,4.9,7,18.3,9,47,no
P178,loam,6.7,10,9.2,4,26,no
P179,sand,8.1,58,9.2,8,20,yes
P180,clay,7.7,38,31.4,2,24,no
P181,sand,5.7,25,5.6,8,65,no
P182,clay,7.8,48,27.3,9,60,no
P183,loam,5.6,9,11.1,3,27,no
P184,loam,5.4,60,18.7,6,36,yes
P185,sand,8.3,53,16.8,3,19,no
P186,clay,8,5,28,11,82,yes
P187,sand,6.1,48,19.9,11,57,yes
P188,clay,8.6,68,15.6,6,58,no
P189,loam,7.6,5,21.1,3,31,yes
P190,clay,6.9,21,24.5,7,64,yes
P191,loam,7,3,21,11,25,no
P192,sand,6,16,17.6,5,39,yes
P193,loam,8.4,45,19.5,6,45,no
P194,clay,8.4,24,26.3,10,62,no
P195,clay,5.6,47,21.7,8,83,no
P196,sand,4.8,52,13.8,3,24,no
P197,loam,5.8,3,8.6,7,52,no
P198,clay,8.3,51,25.4,6,41,yes
P199,loam,8.1,7,7.4,11,84,no
P200,sand,7.5,36,26.7,8,34,yes
P201,clay,6.3,47,18.8,12,71,yes
P202,loam,8.1,18,22.9,11,39,no
P203,loam,7.8,65,15.5,10,38,no
P204,sand,7.1,70,21.6,6,20,no
P205,sand,6,44,22.6,2,71,yes
P206,sand,6.6,52,7,6,19,no
P207,loam,6.6,38,11.4,3,89,yes
P208,clay,5.9,23,11,4,44,yes
P209,loam,6.7,53,14.7,10,88,no
P210,clay,8,37,25.1,9,32,no
P211,sand,7.3,57,11.5,9,20,no
P212,clay,6.5,7,14.6,5,37,yes
P213,loam,5.7,26,28.1,5,43,no
P214,clay,7.8,52,29.6,10,28,no
P215,sand,8.3,44,22.5,3,40,no
P216,sand,7.8,57,21.4,11,37,yes
P217,loam,7.1,47,7.1,5,40,no
P218,loam,5.4,33,30.4,3,88,no
P219,clay,7.4,69,5.5,5,21,no
P220,loam,7.1,42,23.2,6,35,yes
P221,sand,5.1,42,24,8,38,yes
P222,sand,6.4,27,23.5,9,48,yes
P223,loam,5.7,67,23.4,8,27,no
P224,loam,8.2,46,32.6,10,33,no
P225,sand,6.9,23,28.7,10,54,yes
P226,clay,6.3,48,16.1,10,65,no
P227,clay,5.1,60,14.8,12,64,no
P228,loam,6.5,26,17.7,4,39,yes
P229,clay,5.6,63,18,6,52,no
P230,sand,5.2,20,6.1,11,47,no
P231,clay,5.4,63,31.4,8,59,yes
P232,clay,6,35,30.9,5,60,yes
P233,loam,6.8,40,6.7,12,58,no
P234,sand,7.6,28,28.2,2,74,yes
P235,clay,5.3,37,22.3,10,85,no
P236,sand,4.8,48,8.3,5,18,no
P237,sand,6.6,61,17,5,46,no
P238,sand,4.9,25,16.6,6,81,no
P239,sand,7,3,21.1,5,23,no
P240,sand,7,5,8.7,3,58,no
P241,clay,7.6,11,13.8,12,45,yes
P242,loam,8,50,26.2,3,45,no
P243,loam,5.9,15,24.1,5,69,yes
P244,loam,6.2,2,9.1,3,25,yes
P245,loam,5.7,55,22,4,86,no
P246,clay,5.6,12,28.3,5,51,yes
P247,sand,5.1,15,7,8,81,no
P248,sand,5.6,39,14.5,11,18,no
P249,sand,8.5,59,17.1,2,18,no
P250,sand,6.7,62,9.8,3,34,no
P251,clay,8.2,27,16.2,12,49,no
P252,sand,8.1,45,28.2,9,68,no
P253,sand,8,56,20.6,10,29,yes
P254,sand,8,15,10.3,7,54,no
P255,sand,6.3,68,21.3,11,21,no
P256,clay,5.1,44,8.7,12,24,no
P257,loam,7.4,15,15.3,7,30,no
P258,clay,8.1,26,7.5,11,89,no
P259,sand,7.8,60,6.8,11,61,no
P260,sand,6.4,22,22.2,5,16,yes
P261,sand,7.8,14,12.7,4,54,yes
P262,loam,8.2,37,25.5,12,26,no
P263,clay,5.3,43,12.7,7,25,no
P264,loam,7.7,38,9.5,12,20,yes
P265,sand,7.8,38,31.4,5,27,no
P266,sand,4.9,50,25.2,6,58,no
P267,loam,6.2,49,28.8,10,52,no
P268,clay,7.1,7,6.5,6,19,no
P269,clay,7,30,16.6,11,59,yes
P270,sand,7.7,28,11.7,11,35,no
P271,sand,5.3,41,30,4,72,no
P272,sand,7,61,9.4,6,46,no
P273,sand,5.2,39,22,4,31,no
P274,sand,6,61,29.5,9,23,yes
P275,sand,5,35,32.6,10,80,no
P276,sand,7,21,8.7,6,72,no
P277,loam,7.9,67,18.8,7,65,yes
P278,sand,7.9,17,21.5,9,85,no
P279,clay,5.7,19,12.4,4,32,no
P280,loam,5.5,16,22.1,9,18,no
P281,sand,5.8,34,11,5,47,no
P282,clay,8.6,32,7.7,5,47,no
P283,sand,6,8,19.2,10,49,no
P284,loam,6,64,27.3,10,29,no
P285,clay,7,2,19.1,11,44,no
P286,loam,7.7,46,14.2,11,66,no
P287,clay,6.3,70,9.1,10,17,no
P288,sand,5.8,48,24.9,10,23,no
P289,sand,8.5,28,31.4,9,31,yes
P290,clay,6.3,1,15.3,4,75,no
P291,clay,6.7,66,30.7,8,31,no
P292,loam,6,69,7,10,78,no
P293,sand,5.7,2,31.8,5,63,no
P294,loam,5.1,13,28.8,6,68,yes
P295,sand,7.1,43,22.4,7,20,yes
P296,clay,8.2,32,7.4,10,84,yes
P297,clay,6.1,67,5.7,3,56,no
P298,clay,7.4,37,6.4,6,62,no
P299,sand,6.1,27,30.6,9,35,yes
P300,clay,5.6,17,12.7,7,59,no
P301,sand,7.2,39,30,7,32,yes
P302,loam,5.9,25,20.8,10,19,yes
P303,sand,5.5,33,19.8,10,74,yes
P304,clay,7.6,57,21.5,11,17,no
P305,clay,8.5,33,15,7,75,no
P306,sand,8.3,6,5.3,11,64,no
P307,clay,6.1,19,19.8,3,48,yes
P308,sand,6.8,41,12.9,3,85,yes
P309,loam,5,60,26.8,3,47,no
P310,loam,7.1,25,15.1,4,31,yes
P311,loam,6.8,64,23.3,8,44,no
P312,clay,7.1,45,13.3,6,52,yes
P313,loam,7.7,2,5.6,4,33,yes
P314,loam,5.4,50,14.6,10,60,no
P315,sand,5.1,40,15.2,8,19,no
P316,loam,5.7,24,6.2,6,23,no
P317,sand,7.3,5,18.4,3,82,yes
P318,loam,5.7,22,24,8,75,no
P319,sand,6,18,11.3,5,62,yes
P320,loam,7.1,35,21.4,10,89,yes
P321,clay,4.9,21,14.3,6,29,no
P322,loam,5.3,56,11.6,9,54,no
P323,sand,7.1,28,8.7,12,19,no
P324,sand,4.9,51,26.3,9,78,yes
P325,loam,7.6,24,12.3,6,40,yes
P326,clay,4.8,42,16.3,9,23,no
P327,sand,4.8,45,15.5,12,75,no
P328,loam,8,62,5.6,9,81,no
P329,loam,6.6,12,6.9,5,75,no
P330,clay,7.9,52,24.6,8,40,no
P331,sand,8.1,10,6.6,5,22,no
P332,clay,6.7,69,20.2,4,53,no
P333,loam,6.1,55,8.3,6,44,no
P334,loam,6.5,68,10,4,54,no
P335,clay,5.3,64,32.7,10,64,no
P336,clay,7.4,25,30.3,11,88,yes
P337,loam,5.7,22,31,11,88,yes
P338,loam,6.6,11,10.8,2,53,no
P339,loam,6.1,36,15.4,11,33,yes
P340,sand,6.7,43,27.9,10,70,no
P341,loam,6,59,10.6,5,73,no
P342,loam,7.1,18,11.9,11,17,yes
P343,clay,6.8,35,32.4,9,41,yes
P344,clay,7.1,39,12.8,8,41,yes
P345,clay,5.9,14,8.5,5,67,no
P346,sand,5.4,46,11,9,52,no
P347,loam,8.3,34,25.9,6,24,no
P348,sand,5.2,31,24.8,4,90,no
P349,clay,7.2,46,26.6,7,39,yes
P350,loam,5.3,3,28.2,9,80,no
P351,loam,8.4,16,14.9,8,41,no
P352,loam,4.8,7,13.9,2,34,yes
P353,loam,7.1,38,26.4,7,54,yes
P354,loam,6,51,11.6,8,52,yes
P355,loam,7.7,54,11.2,6,71,no
P356,clay,6.7,52,16.3,9,51,no
P357,loam,4.9,9,17.6,9,84,no
P358,sand,7.3,62,33,6,71,no
P359,clay,7.6,14,28.4,12,50,yes
P360,loam,6.9,9,29,9,34,no
P361,loam,7.4,49,21.2,5,25,no
P362,clay,5.9,12,30.3,5,73,no
P363,clay,6.2,53,5.9,5,53,no
P364,loam,6.4,27,22.3,3,57,yes
P365,clay,6,41,9.4,3,75,yes
P366,sand,8.5,47,20.5,4,82,no
P367,clay,7.5,46,13.1,3,34,yes
P368,loam,7.4,18,30,12,56,yes
P369,sand,5.3,64,15.8,6,79,no
P370,sand,7.2,52,21,4,41,yes
P371,sand,7.9,33,13.7,4,18,no
P372,loam,6.9,33,30.8,4,25,no
P373,clay,6.8,62,31.8,11,87,no
P374,clay,7,54,31.8,7,59,no
P375,sand,6.8,1,20.5,11,63,yes
P376,loam,7.2,64,25.5,7,64,no
P377,clay,6,48,10.2,7,27,no
P378,sand,6.5,34,25.2,3,68,yes
P379,sand,6.7,5,23.5,4,64,no
P380,sand,4.8,37,14.2,4,66,no
P381,loam,7,67,10.5,12,49,no
P382,loam,5,50,21.4,6,21,no
P383,clay,8.5,57,17.6,3,66,no
P384,clay,8,32,31.4,7,73,yes
P385,clay,7.8,36,11.4,10,47,no
P386,loam,5.8,23,24,9,29,no
P387,clay,5.3,34,8.2,6,45,no
P388,loam,7.2,68,30.2,12,62,no
P389,sand,7.7,55,5.9,8,19,no
P390,sand,8.4,50,15.4,6,27,no
P391,sand,5.2,63,13.8,9,63,no
P392,loam,6.8,18,23.9,2,88,yes
P393,sand,6.5,9,25.2,3,76,no
P394,sand,5.3,38,17.7,4,65,no
P395,loam,7.4,9,19.8,9,65,no
P396,sand,8.6,69,32.6,11,31,no
P397,loam,5.7,53,23.8,10,84,no
P398,clay,8.3,42,8.4,10,44,no
P399,loam,6,43,28.3,7,59,yes
P400,loam,6.8,22,30.3,4,38,yes
P401,clay,6.7,56,16.7,9,38,no
P402,sand,8.3,7,17.3,12,67,no
P403,clay,8.3,26,26.8,5,81,no
P404,loam,6.6,22,5.2,8,84,yes
P405,sand,8.1,23,5.9,9,51,no
P406,clay,7,31,14.1,8,52,yes
P407,clay,8,51,31.2,6,57,no
P408,loam,7.3,36,6.2,7,30,no
P409,clay,5.4,44,29.4,10,38,no
P410,sand,7.7,17,14.8,9,26,no
P411,clay,8.2,5,5.3,2,52,yes
P412,clay,5.9,70,8.2,5,59,no
P413,clay,6.9,35,24.4,10,73,yes
P414,loam,8,22,26.2,10,40,no
P415,loam,7.6,17,20.6,8,29,yes
P416,clay,5.5,8,14.8,7,63,no
P417,loam,6.5,42,10.8,6,77,no
P418,clay,6.8,26,6.7,9,46,no
P419,loam,6.4,12,26.2,3,32,no
P420,sand,8.2,13,32.6,4,59,no
